composer,piece,top_recommendation,date,reviewer,podcast
"Shostakovich, Dmitri",Symphony no.5,"Moscow Philharmonic Orchestra 
Kirill Kondrashin (conductor)
Melodiya RCID18056928",2024-07-13T00:00:00Z,NA,NA
"Korngold, Erich",Violin Concerto,"Vilde Frang (violin)
Frankfurt Radio Symphony
James Gaffigan (conductor)
Warner Classics 2564600921

",2024-07-06T00:00:00Z,NA,NA
"Chopin, Frédéric",Ballades,"Krystian Zimerman (piano)
Deutsche Grammophon E4230902",2024-06-29T00:00:00Z,NA,NA
"Handel, George Frideric",Theodora,"Louise Alder (Theodora)
Tim Mead (Didymus)
Anna Stephany (Irene)
Stuart Jackson (Septimius)
Adam Plachetka (Valens)
Arcangelo
Jonathan Cohen (conductor)
Alpha ALPHA1025",2024-06-22T00:00:00Z,NA,NA
"Strauss, Richard",Also Sprach Zarathustra Op.30,"Oslo Philharmonic Orchestra
Vasily Petrenko (conductor)
LAW LWC1166
",2024-06-15T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus",Piano Concerto No. 23 in A major K. 488,"Murray Perahia (piano/director)
English Chamber Orchestra
Sony Classical 88697757852",2024-06-08T00:00:00Z,NA,NA
"Elgar, Edward","Symphony no.1 in A flat, Op.55","BBC Symphony Orchestra
Edward Gardner (conductor)
CHANDOS CHSA5181",2024-06-01T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0j22v4l
"Bach, Johann Sebastian",Keyboard Partitas BWV.825-830,"Andras Schiff (piano)
Decca 4758234",2024-05-25T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0j0kjcl
"Debussy, Claude",Jeux,"City of Birmingham Symphony Orchestra
Simon Rattle (conductor)
Warner Classics 9029667941
Warner Classics 2435752195
(both download only)",2024-05-18T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hz48r6
"Stravinsky, Igor",The Firebird,"Montreal Symphony Orchestra
Charles Dutoit (conductor)
DECCA 4144092",2024-05-11T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hxsmsq
"Ravel, Maurice",Piano Concerto in D major for the left hand,"Krystian Zimerman (piano)
London Symphony Orchestra
Pierre Boulez (conductor)
DG 4492132",2024-05-04T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hwhvqr
"Monteverdi, Claudio",Vespers,"Pygmalion
Raphael Pichon (conductor)
Harmonia Hundi HMM90271011",2024-04-27T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0htw8ys
"Mahler, Gustav",Kindertotenlieder,"Mariana Lipovsek (mezzo-soprano)
Berlin Philharmonic Orchestra
Claudio Abbado (conductor)
Sony Classical G010001399711H",2024-04-20T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hsf862
"Brahms, Johannes",Symphony no.3,"London Philharmonic Orchestra
Eugen Jochum (conductor)
Warner Classics 5695152",2024-04-13T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hqxw48
"Vaughan Williams, Ralph","Symphony no.1 ""A Sea Symphony""","Geraldine McGreevy (soprano)
Tommi Hakala (baritone)
MDR Rundfunkchor
MDR Sinfonieorchester
Howard Arman (conductor)
QuerstandVKJK0731",2024-04-06T00:00:00Z,NA,https://www.bbc.co.uk/programmes/p0hphl2h
